Date,COLD,EGP,FR,ILPT,LINE,LXP,PLD,PLYM,REXR,SPY,STAG,TRNO,VNQ
2010-01-04,,22.03883171081543,3.8961596488952637,,,12.398621559143066,15.415139198303223,,,85.0279541015625,,,23.803861618041992
2010-01-05,,21.56022834777832,3.9746551513671875,,,12.437858581542969,15.639958381652832,,,85.25302124023438,,,23.77714729309082
2010-01-06,,21.5256290435791,3.874752998352051,,,12.261298179626465,15.50020694732666,,,85.31306457519531,,,23.734399795532227
2010-01-07,,21.59482192993164,3.9603817462921143,,,12.379002571105957,15.627803802490234,,,85.67318725585938,,,23.99088478088379
2010-01-08,,21.54869842529297,3.874752998352051,,,12.535947799682617,15.585271835327148,,,85.95828247070312,,,23.814550399780273
2010-01-11,,21.59482192993164,3.981790542602539,,,12.59479808807373,15.603503227233887,,,86.07835388183594,,,23.953468322753906
2010-01-12,,21.29497718811035,3.9461119174957275,,,12.261298179626465,15.257162094116211,,,85.27556610107422,,,23.552745819091797
2010-01-13,,21.514097213745117,4.0246052742004395,,,12.33976936340332,15.670336723327637,,,85.99583435058594,,,24.028276443481445
2010-01-14,,22.015764236450195,4.060286045074463,,,12.182825088500977,15.609579086303711,,,86.22837829589844,,,24.00691032409668
2010-01-15,,22.21757698059082,4.088827133178711,,,12.457473754882812,15.536659240722656,,,85.26052856445312,,,23.82524871826172
2010-01-19,,22.45400047302246,4.367124080657959,,,13.065638542175293,15.84046745300293,,,86.32587432861328,,,24.31147003173828
2010-01-20,,22.25794792175293,4.188730716705322,,,11.829696655273438,15.46982192993164,,,85.44808197021484,,,24.038965225219727
2010-01-21,,22.229122161865234,3.910433053970337,,,12.065114974975586,14.734612464904785,,,83.80501556396484,,,23.349702835083008
2010-01-22,,21.91197395324707,3.8105309009552,,,11.868931770324707,14.388276100158691,,,81.93685913085938,,,22.761943817138672
2010-01-25,,22.05613136291504,3.874752998352051,,,11.967022895812988,14.40042781829834,,,82.35701751708984,,,22.9222469329834
2010-01-26,,22.09649085998535,3.8033947944641113,,,11.888551712036133,14.734612464904785,,,82.0118637084961,,,22.708513259887695
2010-01-27,,22.269479751586914,3.8105309009552,,,11.927789688110352,14.9776611328125,,,82.40201568603516,,,22.911563873291016
2010-01-28,,22.015764236450195,3.7391722202301025,,,11.69236946105957,14.594868659973145,,,81.45667266845703,,,22.713855743408203
2010-01-29,,22.061891555786133,3.653541326522827,,,11.672752380371094,14.582707405090332,,,80.5713882446289,,,22.58562469482422
2010-02-01,,22.379037857055664,3.653541326522827,,,11.927789688110352,14.941207885742188,,,81.82430267333984,,,22.997041702270508
2010-02-02,,22.148386001586914,3.7177655696868896,,,11.927789688110352,15.001961708068848,,,82.81465148925781,,,23.312297821044922
2010-02-03,,21.687082290649414,3.660679817199707,,,11.613898277282715,14.49764633178711,,,82.40201568603516,,,22.932924270629883
2010-02-04,,20.741409301757812,3.4323322772979736,,,10.96650218963623,13.853577613830566,,,79.85858154296875,,,22.083356857299805
2010-02-05,,20.954761505126953,3.4251959323883057,,,10.84879207611084,14.066238403320312,,,80.02366638183594,,,22.489439010620117
2010-02-08,,20.64337921142578,3.482282876968384,,,10.397578239440918,13.683449745178223,,,79.4459457397461,,,21.99786949157715
2010-02-09,,20.493457794189453,3.453740119934082,,,10.534904479980469,13.66521167755127,,,80.44380950927734,,,21.928409576416016
2010-02-10,,20.36659812927246,3.4394688606262207,,,10.43681526184082,13.622679710388184,,,80.28627014160156,,12.445207595825195,21.971155166625977
2010-02-11,,19.403635025024414,3.4323322772979736,,,10.476051330566406,13.45254898071289,,,81.12654876708984,,12.605358123779297,22.179533004760742
2010-02-12,,19.697708129882812,3.403787851333618,,,10.96650218963623,13.750282287597656,,,81.0590591430664,,12.578668594360352,22.441349029541016
2010-02-16,,20.084049224853516,3.6392719745635986,,,11.574664115905762,14.157382011413574,,,82.33451080322266,,12.598687171936035,23.077199935913086
2010-02-17,,20.2166748046875,3.653541326522827,,,11.888551712036133,14.254600524902344,,,82.7246322631836,,12.538631439208984,23.285579681396484
2010-02-18,,20.274337768554688,3.703493118286133,,,12.123966217041016,14.528026580810547,,,83.21229553222656,,12.498588562011719,23.632892608642578
2010-02-19,,20.153249740600586,3.860480546951294,,,11.790460586547852,14.43688678741455,,,83.38483428955078,,12.511940002441406,23.64891242980957
2010-02-22,,20.285871505737305,3.7819883823394775,,,11.810076713562012,14.564483642578125,,,83.39989471435547,,12.511940002441406,23.707693099975586
2010-02-23,,20.2166748046875,3.7249014377593994,,,11.868931770324707,14.388276100158691,,,82.38700866699219,,12.545308113098145,23.526029586791992
2010-02-24,,20.355064392089844,3.710628032684326,,,11.868931770324707,14.534101486206055,,,83.14476013183594,,12.3784761428833,23.766464233398438
2010-02-25,,20.614545822143555,3.9032962322235107,,,11.6531343460083,14.75284194946289,,,83.0322265625,,12.358455657958984,23.857301712036133
2010-02-26,,20.701047897338867,3.9461119174957275,,,11.672752380371094,14.789300918579102,,,83.08474731445312,,12.55197525024414,23.84661293029785
2010-03-01,,21.19118309020996,4.00319766998291,,,11.711986541748047,14.862211227416992,,,83.94755554199219,,12.465226173400879,24.049654006958008
2010-03-02,,21.439125061035156,4.153050422668457,,,11.731608390808105,14.971578598022461,,,84.18012237548828,,12.605358123779297,24.060333251953125
2010-03-03,,21.25461196899414,4.181593894958496,,,11.751225471496582,14.8561429977417,,,84.25518035888672,,12.545308113098145,23.996219635009766
2010-03-04,,21.32379913330078,4.281495571136475,,,11.731608390808105,14.91689682006836,,,84.51024627685547,,12.652070999145508,24.14583396911621
2010-03-05,,21.571758270263672,4.431349277496338,,,11.574664115905762,15.439446449279785,,,85.71821594238281,,12.545308113098145,24.80303955078125
2010-03-08,,21.5256290435791,4.602607727050781,,,11.613898277282715,15.682494163513184,,,85.73319244384766,,12.972381591796875,25.054170608520508
2010-03-09,,21.571758270263672,4.702509880065918,,,12.02587604522705,15.804015159606934,,,85.87577819824219,,12.985718727111816,25.112951278686523
